qual	method	off	on
87	last	0.000292	0.8634285
88	bwa	0.0	0.0
88	sim_R1.trim	0.0	0.0
88	bsmap	0.004633	0.9078105
88	gsnap	0.0	0.0
88	bis2	0.000581	0.850766
88	bsmooth	0.0	0.0
88	bis1	0.010036	0.861851
88	last	0.00029	0.8625
89	bwa	0.0	0.0
89	sim_R1.trim	0.0	0.0
89	bsmap	0.004633	0.9078105
89	gsnap	0.0	0.0
89	bis2	0.000581	0.850766
89	bsmooth	0.0	0.0
89	bis1	0.010036	0.861851
89	last	0.000287	0.861218
90	bwa	0.0	0.0
90	sim_R1.trim	0.0	0.0
90	bsmap	0.004633	0.9078105
90	gsnap	0.0	0.0
90	bis2	0.000581	0.850766
90	bsmooth	0.0	0.0
90	bis1	0.010036	0.861851
90	last	0.0002815	0.860067
91	bwa	0.0	0.0
91	sim_R1.trim	0.0	0.0
91	bsmap	0.004633	0.9078105
91	gsnap	0.0	0.0
91	bis2	0.000581	0.850766
91	bsmooth	0.0	0.0
91	bis1	0.010036	0.861851
91	last	0.0002795	0.8588295
92	bwa	0.0	0.0
92	sim_R1.trim	0.0	0.0
92	bsmap	0.004633	0.9078105
92	gsnap	0.0	0.0
92	bis2	0.000581	0.850766
92	bsmooth	0.0	0.0
92	bis1	0.010036	0.861851
92	last	0.000278	0.8572145
93	bwa	0.0	0.0
93	sim_R1.trim	0.0	0.0
93	bsmap	0.004633	0.9078105
93	gsnap	0.0	0.0
93	bis2	0.000581	0.850766
93	bsmooth	0.0	0.0
93	bis1	0.010036	0.861851
93	last	0.0002745	0.8565695
94	bwa	0.0	0.0
94	sim_R1.trim	0.0	0.0
94	bsmap	0.004633	0.9078105
94	gsnap	0.0	0.0
94	bis2	0.000581	0.850766
94	bsmooth	0.0	0.0
94	bis1	0.010036	0.861851
94	last	0.000272	0.8561065
95	bwa	0.0	0.0
95	sim_R1.trim	0.0	0.0
95	bsmap	0.004633	0.9078105
95	gsnap	0.0	0.0
95	bis2	0.000581	0.850766
95	bsmooth	0.0	0.0
95	bis1	0.010036	0.861851
95	last	0.0002685	0.855559
96	bwa	0.0	0.0
96	sim_R1.trim	0.0	0.0
96	bsmap	0.004633	0.9078105
96	gsnap	0.0	0.0
96	bis2	0.000581	0.850766
96	bsmooth	0.0	0.0
96	bis1	0.010036	0.861851
96	last	0.0002645	0.854849
97	bwa	0.0	0.0
97	sim_R1.trim	0.0	0.0
97	bsmap	0.004633	0.9078105
97	gsnap	0.0	0.0
97	bis2	0.000581	0.850766
97	bsmooth	0.0	0.0
97	bis1	0.010036	0.861851
97	last	0.000264	0.8543565
98	bwa	0.0	0.0
98	sim_R1.trim	0.0	0.0
98	bsmap	0.004633	0.9078105
98	gsnap	0.0	0.0
98	bis2	0.000581	0.850766
98	bsmooth	0.0	0.0
98	bis1	0.010036	0.861851
98	last	0.0002625	0.85378
99	bwa	0.0	0.0
99	sim_R1.trim	0.0	0.0
99	bsmap	0.004633	0.9078105
99	gsnap	0.0	0.0
99	bis2	0.000581	0.850766
99	bsmooth	0.0	0.0
99	bis1	0.010036	0.861851
99	last	0.00026	0.853154
100	bwa	0.0	0.0
100	sim_R1.trim	0.0	0.0
100	bsmap	0.004633	0.9078105
100	gsnap	0.0	0.0
100	bis2	0.000581	0.850766
100	bsmooth	0.0	0.0
100	bis1	0.010036	0.861851
100	last	0.0002595	0.8525155
101	bwa	0.0	0.0
101	sim_R1.trim	0.0	0.0
101	bsmap	0.004633	0.9078105
101	gsnap	0.0	0.0
